Designator,Mid X,Mid Y,Rotation,Layer
SW40,232.6375,-126.39,0.0,top
SW41,223.1125,-145.44,0.0,top
SW42,237.4,-88.29,0.0,top
SW43,246.925,-107.34,0.0,top
SW44,251.6875,-126.39,0.0,top
SW45,242.1625,-145.44,0.0,top
SW46,256.45,-88.29,0.0,top
SW47,265.975,-107.34,0.0,top
SW48,270.7375,-126.39,0.0,top
SW49,261.2125,-145.44,0.0,top
SW5,75.46,-126.39,0.0,top
SW50,256.2825,-168.82,180.0,top
SW51,275.5,-88.29,0.0,top
SW52,285.025,-107.34,0.0,top
SW53,289.7875,-126.39,0.0,top
SW54,280.2625,-145.44,0.0,top
SW55,294.55,-88.29,0.0,top
SW56,304.075,-107.34,0.0,top
SW57,308.8375,-126.39,0.0,top
SW58,299.3125,-145.44,0.0,top
SW59,327.72,-164.49,0.0,top
SW6,75.46,-145.44,0.0,top
SW60,313.6,-88.29,0.0,top
SW61,323.125,-107.34,0.0,top
SW62,327.8875,-126.39,0.0,top
SW63,318.3625,-145.44,0.0,top
SW64,349.15125,-164.49,0.0,top
SW65,332.65,-88.29,0.0,top
SW66,342.175,-107.34,0.0,top
SW67,346.9375,-126.39,0.0,top
SW68,337.4125,-145.44,0.0,top
SW69,351.7,-88.29,0.0,top
SW7,75.46,-164.49,0.0,top
SW70,370.75,-88.29,0.0,top
SW71,361.225,-107.34,0.0,top
SW72,362.97125,-145.44,0.0,top
SW73,389.8,-88.29,0.0,top
SW74,385.0375,-107.34,0.0,top
SW75,377.89375,-126.39,0.0,top
SW76,389.8,-145.44,0.0,top
SW77,418.36,-88.29,0.0,top
SW78,418.36,-107.34,0.0,top
SW79,418.36,-126.39,0.0,top
SW8,94.51,-88.29,0.0,top
SW80,418.36,-145.44,0.0,top
SW81,418.36,-164.49,0.0,top
SW82,437.41,-88.29,0.0,top
SW83,437.41,-107.34,0.0,top
SW84,437.41,-126.39,0.0,top
SW85,437.41,-145.44,0.0,top
SW86,437.41,-164.49,0.0,top
SW87,456.46,-88.29,0.0,top
SW88,456.46,-107.34,0.0,top
SW89,456.46,-126.39,0.0,top
SW9,94.51,-107.34,0.0,top
SW90,456.46,-145.44,0.0,top
SW91,456.46,-164.49,0.0,top
U1,115.924,-161.695,0.0,bottom
U2,111.6615,-149.9825,270.0,bottom
